계산값 이상치 55건
| SK | 영업활동현금흐름 | 2020Q2 | 3.5 | 3,236,629,000,000 | 3,236,629,000,000 | O | 4,231,454,000,000 - 994,825,000,000 | - |
| SK | 영업활동현금흐름 | 2022Q2 | 4.9 | 4,372,034,000,000 | 4,372,034,000,000 | O | 5,408,334,000,000 - 1,036,300,000,000 | - |
| SK | 영업활동현금흐름 | 2026Q2 | 7.5 | 3,946,539,000,000 | 3,946,539,000,000 | O | 4,607,594,000,000 - 661,055,000,000 | - |
| 현대모비스 | 영업활동현금흐름 | 2024Q4 | 3.9 | 895,448,000,000 | 895,448,000,000 | O | 4,252,694,000,000 - 3,357,246,000,000 | - |
| LS ELECTRIC | 당기순이익(지배) | 2021Q4 | 3.7 | 24,180,154,791 | 24,180,154,791 | O | 84,736,315,508 - 60,556,160,717 | Q1~Q3 공시 합 60,556,160,717 + Q4 = 84,736,315,508 vs 연간 84,736,315,508 → 일치 |
| LS ELECTRIC | 영업활동현금흐름 | 2021Q2 | 6.5 | 136,648,906,876 | 136,648,906,876 | O | 155,269,182,251 - 18,620,275,375 | - |
| LS ELECTRIC | 영업활동현금흐름 | 2024Q4 | 3.9 | 110,250,323,759 | 110,250,323,759 | O | 230,146,922,129 - 119,896,598,370 | - |
| 효성중공업 | 영업활동현금흐름 | 2023Q4 | 4.0 | 259,967,607,640 | 259,967,607,640 | O | 454,662,926,622 - 194,695,318,982 | - |
| HD현대일렉트릭 | 당기순이익(지배) | 2023Q4 | 3.9 | 138,821,848,352 | 138,821,848,352 | O | 259,152,699,997 - 120,330,851,645 | Q1~Q3 공시 합 120,330,851,646 + Q4 = 259,152,699,998 vs 연간 259,152,699,997 → 차이 1 |
| 고려아연 | 당기순이익(지배) | 2025Q4 | 6.1 | 209,222,152,220 | 209,222,152,220 | O | 775,018,941,540 - 565,796,789,320 | Q1~Q3 공시 합 565,796,789,320 + Q4 = 775,018,941,540 vs 연간 775,018,941,540 → 일치 |
| 고려아연 | 영업활동현금흐름 | 2020Q2 | 4.3 | 316,821,142,018 | 316,821,142,018 | O | 374,173,046,770 - 57,351,904,752 | - |
| HD한국조선해양 | 영업활동현금흐름 | 2024Q4 | 10.5 | 1,887,684,187,000 | 1,887,684,187,000 | O | 4,288,660,178,000 - 2,400,975,991,000 | - |
| 두산 | 영업활동현금흐름 | 2025Q4 | 14.7 | 1,429,702,000,000 | 1,429,702,000,000 | O | 981,908,000,000 - -447,794,000,000 | - |
