MCK | {'계산(연간-3분기누적)': 24, '계산(누적차감)': 22, '공시': 164, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
ABNB | {'미확인': 87, 'API': 23, '공시': 122, '공시(재작성 반영)': 1, '공시(비지배 없음)': 22, '공시(표지 기준일)': 22, '계산(종가×주식수)': 22, '계산(누적차감)(재작성 반영)': 5, '계산(연간-3분기누적)': 15, '계산(누적차감)': 11} | 검증실패 [('2020Q4', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 없음 | 16s
ADBE | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
SO | {'공시': 159, '계산(연결-비지배)': 15, '공시(비지배 없음)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 15, '계산(연간(연결-비지배)-3분기누적)': 6} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
VRT | {'공시': 137, '미확인': 17, '공시(재작성 반영)': 18, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)(재작성 반영)': 5, '계산(연간-3분기누적)': 18, '계산(연간-3분기누적)(재작성 반영)': 1, '공시(비지배 없음)(재작성 반영)': 4, '계산(누적차감)': 17, '공시(비지배 없음)': 23} | 검증실패 [('2019Q1', '자산=부채+자본'), ('2019Q2', '자산=부채+자본'), ('2019Q3', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 ['2020Q4'] | 3s
PWR | {'공시': 195, '계산(연결-비지배)': 2, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
APH | {'공시': 186, '계산(부채및자본-총자본)': 11, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
GD | {'공시': 132, '계산(부채및자본-총자본)': 26, '공시(비지배 없음)': 26, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(재작성 반영)': 5, '계산(부채및자본-총자본)(재작성 반영)': 4, '공시(비지배 없음)(재작성 반영)': 4} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 5s
재작성 기록: {'재분류(미반영)': 29, '재작성 검증 실패(원 공시 유지)': 44, '재작성 반영': 57}
rows: 6600 | 빈 값: 0 | 빈 출처: 0
