CMG | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
KDP | {'공시': 187, '공시(비지배 없음)': 10, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
VEEV | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 24s
WAT | {'공시': 149, '공시(비지배 없음)': 36, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '공시(보통주 귀속)': 12, '계산(누적차감)': 22, '계산(연간-3분기누적)': 15, '계산(연간-3분기누적, 비지배 없음)': 6} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
PAYX | {'공시': 144, '공시(보통주 귀속)': 18, '계산(누적차감)': 23, '공시(비지배 없음)': 31, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 17, '계산(연간-3분기누적, 보통주 귀속)': 6, '계산(연간-3분기누적, 비지배 없음)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
ADM | {'공시': 114, '미확인': 30, '계산(부채및자본-총자본)': 30, '계산(총자본-비지배)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2023Q2', '2023Q4', '2024Q1', '2024Q2'] | 9s
IDXX | {'공시': 184, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(비지배 없음)': 13} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
MSCI | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
FLEX | {'계산(연간-3분기누적)': 17, '미확인': 10, '계산(연간-3분기누적, 비지배 없음)': 3, '계산(누적차감)': 22, '공시': 145, '계산(부채및자본-총자본)': 12, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간(연결-비지배)-3분기누적)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
MCHP | {'계산(연간-3분기누적)': 24, '계산(누적차감)': 22, '공시': 134, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
LYV | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2019Q4'] | 7s
ED | {'공시': 164, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(비지배 없음)': 3} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 11s
NTAP | {'계산(연간-3분기누적)': 24, '계산(누적차감)': 22, '공시': 164, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
DHI | {'공시': 173, '미확인': 30, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
TTWO | {'계산(연간-3분기누적)': 24, '계산(누적차감)': 22, '공시': 181, '공시(지배지분 태그)': 3, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '공시(비지배 없음)': 10} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
SYY | {'공시': 123, '공시(보통주 귀속)': 5, '계산(누적차감)': 21, '계산(부채및자본-총자본)': 29, '공시(비지배 없음)': 29, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21, '계산(연간-3분기누적, 보통주 귀속)': 2, '미확인': 9, '데이터 없음(직전 보고서 없음)': 1} | 검증실패 [('2021Q4', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 없음 | 9s
YUM | {'공시': 167, '공시(지배지분 태그)': 3, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(비지배 없음)': 27} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
ROP | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
AXON | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2024Q4'] | 7s
