기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산
PPG Industries,PPG,2019Q1,2019-03-31,분기별 매출액,3624000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,
PPG Industries,PPG,2019Q1,2019-03-31,분기별 영업이익,515000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,
PPG Industries,PPG,2019Q1,2019-03-31,분기별 당기순이익(지배),312000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,
PPG Industries,PPG,2019Q1,2019-03-31,분기별 영업활동현금흐름,-66000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,
PPG Industries,PPG,2019Q1,2019-03-31,분기말 자산총계,17371000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,
PPG Industries,PPG,2019Q1,2019-03-31,분기말 부채총계,12361000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,
PPG Industries,PPG,2019Q1,2019-03-31,분기말 총자본(자기자본),5010000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,
PPG Industries,PPG,2019Q1,2019-03-31,분기말 지배지분 자본,4904000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,
PPG Industries,PPG,2019Q1,2019-03-29,분기말 종가,112.87,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PPG?interval=1d&events=splits (2019-03-29),
PPG Industries,PPG,2019Q1,2019-03-31,분기말 상장주식수,236059963,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,dei:EntityCommonStockSharesOutstanding 클래스 합
PPG Industries,PPG,2019Q1,2019-03-29,분기말 시가총액,26644088024,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PPG?interval=1d&events=splits (2019-03-29) ; https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,종가 112.87 × 주식수 236059963
PPG Industries,PPG,2019Q2,2019-06-30,분기별 매출액,4024000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/,
PPG Industries,PPG,2019Q2,2019-06-30,분기별 영업이익,660000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/,
PPG Industries,PPG,2019Q2,2019-06-30,분기별 당기순이익(지배),272000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/,
PPG Industries,PPG,2019Q2,2019-06-30,분기별 영업활동현금흐름,548000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/ ; https://www.sec.gov/Archives/edgar/data/79879/000007987919000017/,누적 482000000 − 직전누적 -66000000 (시작 2019-01-01)
PPG Industries,PPG,2019Q2,2019-06-30,분기말 자산총계,17955000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/,
PPG Industries,PPG,2019Q2,2019-06-30,분기말 부채총계,12768000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/,
PPG Industries,PPG,2019Q2,2019-06-30,분기말 총자본(자기자본),5187000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/,
PPG Industries,PPG,2019Q2,2019-06-30,분기말 지배지분 자본,5079000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/,
PPG Industries,PPG,2019Q2,2019-06-28,분기말 종가,116.71,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PPG?interval=1d&events=splits (2019-06-28),
PPG Industries,PPG,2019Q2,2019-06-30,분기말 상장주식수,236292889,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/,dei:EntityCommonStockSharesOutstanding 클래스 합
PPG Industries,PPG,2019Q2,2019-06-28,분기말 시가총액,27577743075,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PPG?interval=1d&events=splits (2019-06-28) ; https://www.sec.gov/Archives/edgar/data/79879/000007987919000032/,종가 116.71 × 주식수 236292889
PPG Industries,PPG,2019Q3,2019-09-30,분기별 매출액,3826000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000043/,
PPG Industries,PPG,2019Q3,2019-09-30,분기별 영업이익,586000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000043/,
PPG Industries,PPG,2019Q3,2019-09-30,분기별 당기순이익(지배),367000000,USD,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987919000043/,
