기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산
Oracle,ORCL,2019Q1,2019-02-28,분기별 매출액,9614000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,
Oracle,ORCL,2019Q1,2019-02-28,분기별 영업이익,3399000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,
Oracle,ORCL,2019Q1,2019-02-28,분기별 당기순이익(지배),2745000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,
Oracle,ORCL,2019Q1,2019-02-28,분기별 영업활동현금흐름,2861000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/ ; https://www.sec.gov/Archives/edgar/data/1341439/000156459018031113/,누적 10129000000 − 직전누적 7268000000 (시작 2018-06-01)
Oracle,ORCL,2019Q1,2019-02-28,분기말 자산총계,109438000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,
Oracle,ORCL,2019Q1,2019-02-28,분기말 부채총계,85200000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,부채및자본 109438000000 − 총자본 24238000000
Oracle,ORCL,2019Q1,2019-02-28,분기말 총자본(자기자본),24238000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,
Oracle,ORCL,2019Q1,2019-02-28,분기말 지배지분 자본,23714000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,
Oracle,ORCL,2019Q1,2019-02-28,분기말 종가,52.13,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ORCL?interval=1d&events=splits (2019-02-28),
Oracle,ORCL,2019Q1,2019-03-13,분기말 상장주식수,3417654000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,dei:EntityCommonStockSharesOutstanding 클래스 합
Oracle,ORCL,2019Q1,2019-02-28,분기말 시가총액,178162303020,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ORCL?interval=1d&events=splits (2019-02-28) ; https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,종가 52.13 × 주식수 3417654000
Oracle,ORCL,2019Q2,2019-05-31,분기별 매출액,11137000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/ ; https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,연간 39506000000 − 9개월누적 28369000000 (Revenues / 9개월 RevenueFromContractWithCustomerExcludingAssessedTax)
Oracle,ORCL,2019Q2,2019-05-31,분기별 영업이익,4257000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/ ; https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,연간 13535000000 − 9개월누적 9278000000 (OperatingIncomeLoss)
Oracle,ORCL,2019Q2,2019-05-31,분기별 당기순이익(지배),3740000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/ ; https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,연간 11083000000 − 9개월누적 7343000000 (NetIncomeLoss)
Oracle,ORCL,2019Q2,2019-05-31,분기별 영업활동현금흐름,4422000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/ ; https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/,누적 14551000000 − 직전누적 10129000000 (시작 2018-06-01)
Oracle,ORCL,2019Q2,2019-05-31,분기말 자산총계,108709000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/,
