WBD | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 12s
CL | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
HLT | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
ORLY | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
RSG | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
RCL | {'공시': 181, '공시(비지배 없음)': 16, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
HON | {'공시': 158, '미확인': 14, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 16} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2026Q2'] | 4s
AEP | {'공시': 178, '계산(연결-비지배)': 19, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간(연결-비지배)-3분기누적)': 7} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 50s
URI | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
APD | {'공시': 196, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
BSX | {'공시': 128, '공시(비지배 없음)': 28, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간-3분기누적, 비지배 없음)': 4, '계산(연결-비지배)': 11, '계산(연간(연결-비지배)-3분기누적)': 3} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2023Q4'] | 3s
TRGP | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
COHR | {'공시': 181, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 22, '미확인': 14} | 검증실패 [('2022Q2', '자산=부채+자본'), ('2023Q2', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 ['2021Q3'] | 5s
MRNA | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
PCAR | {'공시': 114, '미확인': 30, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
TDG | {'공시': 196, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2021Q3'] | 3s
MPWR | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
GWW | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
TEL | {'공시': 170, '계산(누적차감)': 23, '공시(비지배 없음)': 26, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
COR | {'공시': 166, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
rows: 6600 | 빈 값: 0 | 빈 출처: 0
