기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산
Valero Energy,VLO,2019Q1,2019-03-31,분기별 매출액,24263000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,
Valero Energy,VLO,2019Q1,2019-03-31,분기별 영업이익,308000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,
Valero Energy,VLO,2019Q1,2019-03-31,분기별 당기순이익(지배),141000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,
Valero Energy,VLO,2019Q1,2019-03-31,분기별 영업활동현금흐름,877000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,
Valero Energy,VLO,2019Q1,2019-03-31,분기말 자산총계,52095000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,
Valero Energy,VLO,2019Q1,2019-03-31,분기말 부채총계,30316000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,부채및자본 52095000000 − 총자본 21779000000
Valero Energy,VLO,2019Q1,2019-03-31,분기말 총자본(자기자본),21779000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,
Valero Energy,VLO,2019Q1,2019-03-31,분기말 지배지분 자본,21309000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,
Valero Energy,VLO,2019Q1,2019-03-29,분기말 종가,84.83,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2019-03-29),
Valero Energy,VLO,2019Q1,2019-04-30,분기말 상장주식수,417241451,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,dei:EntityCommonStockSharesOutstanding 클래스 합
Valero Energy,VLO,2019Q1,2019-03-29,분기말 시가총액,35394592288,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2019-03-29) ; https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,종가 84.83 × 주식수 417241451
Valero Energy,VLO,2019Q2,2019-06-30,분기별 매출액,28933000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,
Valero Energy,VLO,2019Q2,2019-06-30,분기별 영업이익,908000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,
Valero Energy,VLO,2019Q2,2019-06-30,분기별 당기순이익(지배),612000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,
Valero Energy,VLO,2019Q2,2019-06-30,분기별 영업활동현금흐름,1517000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500219000025/,누적 2394000000 − 직전누적 877000000 (시작 2019-01-01)
Valero Energy,VLO,2019Q2,2019-06-30,분기말 자산총계,52022000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,
Valero Energy,VLO,2019Q2,2019-06-30,분기말 부채총계,30185000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,부채및자본 52022000000 − 총자본 21837000000
Valero Energy,VLO,2019Q2,2019-06-30,분기말 총자본(자기자본),21837000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,
Valero Energy,VLO,2019Q2,2019-06-30,분기말 지배지분 자본,21345000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,
Valero Energy,VLO,2019Q2,2019-06-28,분기말 종가,85.61,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2019-06-28),
Valero Energy,VLO,2019Q2,2019-07-31,분기말 상장주식수,414403440,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,dei:EntityCommonStockSharesOutstanding 클래스 합
Valero Energy,VLO,2019Q2,2019-06-28,분기말 시가총액,35477078498,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2019-06-28) ; https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,종가 85.61 × 주식수 414403440
Valero Energy,VLO,2019Q3,2019-09-30,분기별 매출액,27249000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,
Valero Energy,VLO,2019Q3,2019-09-30,분기별 영업이익,881000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,
Valero Energy,VLO,2019Q3,2019-09-30,분기별 당기순이익(지배),609000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,
Valero Energy,VLO,2019Q3,2019-09-30,분기별 영업활동현금흐름,1429000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500219000040/,누적 3823000000 − 직전누적 2394000000 (시작 2019-01-01)
Valero Energy,VLO,2019Q3,2019-09-30,분기말 자산총계,51229000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,
Valero Energy,VLO,2019Q3,2019-09-30,분기말 부채총계,29641000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,부채및자본 51229000000 − 총자본 21588000000
Valero Energy,VLO,2019Q3,2019-09-30,분기말 총자본(자기자본),21588000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,
Valero Energy,VLO,2019Q3,2019-09-30,분기말 지배지분 자본,21107000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,
Valero Energy,VLO,2019Q3,2019-09-30,분기말 종가,85.24,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2019-09-30),
Valero Energy,VLO,2019Q3,2019-10-29,분기말 상장주식수,410652732,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,dei:EntityCommonStockSharesOutstanding 클래스 합
Valero Energy,VLO,2019Q3,2019-09-30,분기말 시가총액,35004038876,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2019-09-30) ; https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,종가 85.24 × 주식수 410652732
Valero Energy,VLO,2019Q4,2019-12-31,분기별 매출액,27879000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,연간 108324000000 − 9개월누적 80445000000 (RevenueFromContractWithCustomerIncludingAssessedTax)
Valero Energy,VLO,2019Q4,2019-12-31,분기별 영업이익,1739000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,연간 3836000000 − 9개월누적 2097000000 (OperatingIncomeLoss)
Valero Energy,VLO,2019Q4,2019-12-31,분기별 당기순이익(지배),1060000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,연간 2422000000 − 9개월누적 1362000000 (NetIncomeLoss)
Valero Energy,VLO,2019Q4,2019-12-31,분기별 영업활동현금흐름,1708000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500219000047/,누적 5531000000 − 직전누적 3823000000 (시작 2019-01-01)
Valero Energy,VLO,2019Q4,2019-12-31,분기말 자산총계,53864000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/,
Valero Energy,VLO,2019Q4,2019-12-31,분기말 부채총계,31328000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/,부채및자본 53864000000 − 총자본 22536000000
Valero Energy,VLO,2019Q4,2019-12-31,분기말 총자본(자기자본),22536000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/,
Valero Energy,VLO,2019Q4,2019-12-31,분기말 지배지분 자본,21803000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/,
Valero Energy,VLO,2019Q4,2019-12-31,분기말 종가,93.65,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2019-12-31),
Valero Energy,VLO,2019Q4,2020-01-31,분기말 상장주식수,409337126,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/,dei:EntityCommonStockSharesOutstanding 클래스 합
Valero Energy,VLO,2019Q4,2019-12-31,분기말 시가총액,38334421850,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2019-12-31) ; https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/,종가 93.65 × 주식수 409337126
Valero Energy,VLO,2020Q1,2020-03-31,분기별 매출액,22102000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,
Valero Energy,VLO,2020Q1,2020-03-31,분기별 영업이익,-2277000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,
Valero Energy,VLO,2020Q1,2020-03-31,분기별 당기순이익(지배),-1851000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,
Valero Energy,VLO,2020Q1,2020-03-31,분기별 영업활동현금흐름,-49000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,
Valero Energy,VLO,2020Q1,2020-03-31,분기말 자산총계,47747000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,
Valero Energy,VLO,2020Q1,2020-03-31,분기말 부채총계,28062000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,부채및자본 47747000000 − 총자본 19685000000
Valero Energy,VLO,2020Q1,2020-03-31,분기말 총자본(자기자본),19685000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,
Valero Energy,VLO,2020Q1,2020-03-31,분기말 지배지분 자본,18842000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,
Valero Energy,VLO,2020Q1,2020-03-31,분기말 종가,45.36,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2020-03-31),
Valero Energy,VLO,2020Q1,2020-04-20,분기말 상장주식수,407698594,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,dei:EntityCommonStockSharesOutstanding 클래스 합
Valero Energy,VLO,2020Q1,2020-03-31,분기말 시가총액,18493208224,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2020-03-31) ; https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,종가 45.36 × 주식수 407698594
Valero Energy,VLO,2020Q2,2020-06-30,분기별 매출액,10397000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/,
Valero Energy,VLO,2020Q2,2020-06-30,분기별 영업이익,1789000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/,
Valero Energy,VLO,2020Q2,2020-06-30,분기별 당기순이익(지배),1253000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/,
Valero Energy,VLO,2020Q2,2020-06-30,분기별 영업활동현금흐름,736000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500220000016/,누적 687000000 − 직전누적 -49000000 (시작 2020-01-01)
Valero Energy,VLO,2020Q2,2020-06-30,분기말 자산총계,49099000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/,
Valero Energy,VLO,2020Q2,2020-06-30,분기말 부채총계,28465000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/,부채및자본 49099000000 − 총자본 20634000000
Valero Energy,VLO,2020Q2,2020-06-30,분기말 총자본(자기자본),20634000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/,
Valero Energy,VLO,2020Q2,2020-06-30,분기말 지배지분 자본,19847000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/,
Valero Energy,VLO,2020Q2,2020-06-30,분기말 종가,58.82,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2020-06-30),
Valero Energy,VLO,2020Q2,2020-07-20,분기말 상장주식수,407757274,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/,dei:EntityCommonStockSharesOutstanding 클래스 합
Valero Energy,VLO,2020Q2,2020-06-30,분기말 시가총액,23984282857,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/VLO?interval=1d&events=splits (2020-06-30) ; https://www.sec.gov/Archives/edgar/data/1035002/000103500220000041/,종가 58.82 × 주식수 407757274
