기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처
Lennar,LEN,2019Q1,2019-02-28,분기별 영업이익,재분류(미반영),319124000,공시,https://www.sec.gov/Archives/edgar/data/920760/000162828019004004/,398467000,https://www.sec.gov/Archives/edgar/data/920760/000162828020004762/
Lennar,LEN,2019Q2,2019-05-31,분기별 영업이익,재분류(미반영),559399000,공시,https://www.sec.gov/Archives/edgar/data/920760/000162828019008570/,635512000,https://www.sec.gov/Archives/edgar/data/920760/000162828020010213/
Lennar,LEN,2019Q3,2019-08-31,분기별 영업이익,재작성 반영,667083000,공시,https://www.sec.gov/Archives/edgar/data/920760/000162828019012204/,759698000,https://www.sec.gov/Archives/edgar/data/920760/000162828020014126/
Lennar,LEN,2019Q4,2019-11-30,분기별 영업이익,재작성 반영,1229800000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/920760/000162828020000559/ ; https://www.sec.gov/Archives/edgar/data/920760/000162828019012204/,981729000,https://www.sec.gov/Archives/edgar/data/920760/000162828020000559/ ; https://www.sec.gov/Archives/edgar/data/920760/000162828020014126/
Fidelity National Information Services,FIS,2021Q4,2021-12-31,분기별 매출액,재분류(미반영),3672000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1136893/000113689322000038/ ; https://www.sec.gov/Archives/edgar/data/1136893/000113689321000228/,-866000000,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/ ; https://www.sec.gov/Archives/edgar/data/1136893/000113689321000228/
Fidelity National Information Services,FIS,2021Q4,2021-12-31,분기별 영업이익,재분류(미반영),455000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1136893/000113689322000038/ ; https://www.sec.gov/Archives/edgar/data/1136893/000113689321000228/,440000000,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/ ; https://www.sec.gov/Archives/edgar/data/1136893/000113689321000228/
Fidelity National Information Services,FIS,2022Q1,2022-03-31,분기별 매출액,재분류(미반영),3492000000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000113689322000095/,2370000000,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/
Fidelity National Information Services,FIS,2022Q1,2022-03-31,분기별 영업이익,재분류(미반영),157000000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000113689322000095/,202000000,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/
Fidelity National Information Services,FIS,2022Q2,2022-06-30,분기별 매출액,재분류(미반영),3719000000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000113689322000146/,2408000000,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/
Fidelity National Information Services,FIS,2022Q2,2022-06-30,분기별 영업이익,재분류(미반영),374000000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000113689322000146/,254000000,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/
Fidelity National Information Services,FIS,2022Q3,2022-09-30,분기별 매출액,재분류(미반영),3604000000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000113689322000180/,2415000000,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/
Fidelity National Information Services,FIS,2022Q3,2022-09-30,분기별 영업이익,재분류(미반영),462000000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000113689322000180/,384000000,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/
Fidelity National Information Services,FIS,2022Q4,2022-12-31,분기별 매출액,재분류(미반영),3714000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1136893/000113689323000028/ ; https://www.sec.gov/Archives/edgar/data/1136893/000113689322000180/,2526000000,https://www.sec.gov/Archives/edgar/data/1136893/000113689325000014/ ; https://www.sec.gov/Archives/edgar/data/1136893/000113689323000148/
