기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처
Mondelez International,MDLZ,2020Q1,2020-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),37846000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/
Mondelez International,MDLZ,2020Q1,2020-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),25752000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/
Mondelez International,MDLZ,2020Q1,2020-03-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),25674000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/
Illinois Tool Works,ITW,2024Q1,2024-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),15653000000,공시,https://www.sec.gov/Archives/edgar/data/49826/000004982624000020/,,https://www.sec.gov/Archives/edgar/data/49826/000004982624000020/
Illinois Tool Works,ITW,2024Q1,2024-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),12632000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/49826/000004982624000020/,,https://www.sec.gov/Archives/edgar/data/49826/000004982624000020/
Illinois Tool Works,ITW,2024Q1,2024-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),3021000000,공시,https://www.sec.gov/Archives/edgar/data/49826/000004982624000020/,,https://www.sec.gov/Archives/edgar/data/49826/000004982624000020/
Ecolab,ECL,2019Q1,2019-03-31,분기별 매출액,재분류(미반영),3505400000,공시,https://www.sec.gov/Archives/edgar/data/31462/000155837019003797/,2924700000,https://www.sec.gov/Archives/edgar/data/31462/000155837021001916/
Ecolab,ECL,2019Q1,2019-03-31,분기별 영업이익,재분류(미반영),367200000,공시,https://www.sec.gov/Archives/edgar/data/31462/000155837019003797/,313600000,https://www.sec.gov/Archives/edgar/data/31462/000155837021001916/
Ecolab,ECL,2019Q2,2019-06-30,분기별 매출액,재분류(미반영),3759400000,공시,https://www.sec.gov/Archives/edgar/data/31462/000155837019006736/,3169100000,https://www.sec.gov/Archives/edgar/data/31462/000155837021001916/
Ecolab,ECL,2019Q2,2019-06-30,분기별 영업이익,재분류(미반영),498600000,공시,https://www.sec.gov/Archives/edgar/data/31462/000155837019006736/,464400000,https://www.sec.gov/Archives/edgar/data/31462/000155837021001916/
Ecolab,ECL,2019Q2,2019-06-30,분기별 영업활동현금흐름,재분류(미반영),539400000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/31462/000155837019006736/ ; https://www.sec.gov/Archives/edgar/data/31462/000155837019003797/,539500000,https://www.sec.gov/Archives/edgar/data/31462/000155837020009506/ ; https://www.sec.gov/Archives/edgar/data/31462/000155837019003797/
Ecolab,ECL,2019Q3,2019-09-30,분기별 매출액,재분류(미반영),3817900000,공시,https://www.sec.gov/Archives/edgar/data/31462/000155837019009602/,3224000000,https://www.sec.gov/Archives/edgar/data/31462/000155837021001916/
Ecolab,ECL,2019Q3,2019-09-30,분기별 영업이익,재분류(미반영),587600000,공시,https://www.sec.gov/Archives/edgar/data/31462/000155837019009602/,549000000,https://www.sec.gov/Archives/edgar/data/31462/000155837021001916/
Ecolab,ECL,2019Q3,2019-09-30,분기별 영업활동현금흐름,재분류(미반영),682200000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/31462/000155837019009602/ ; https://www.sec.gov/Archives/edgar/data/31462/000155837019006736/,682100000,https://www.sec.gov/Archives/edgar/data/31462/000155837019009602/ ; https://www.sec.gov/Archives/edgar/data/31462/000155837020009506/
Ecolab,ECL,2019Q4,2019-12-31,분기별 매출액,재분류(미반영),3823600000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/31462/000155837020001788/ ; https://www.sec.gov/Archives/edgar/data/31462/000155837019009602/,3244200000,https://www.sec.gov/Archives/edgar/data/31462/000155837022002059/ ; https://www.sec.gov/Archives/edgar/data/31462/000155837020012094/
