기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처
한진칼,180640,2017Q1,2017-03-31,분기별 매출액,재작성 반영,296319363343,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170515004668,69140780395,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515002383
한진칼,180640,2017Q4,2017-12-31,분기말 자산총계,재작성 반영,2775783759727,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000906,2843970354293,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000913
한진칼,180640,2017Q4,2017-12-31,분기말 총자본(자기자본),재작성 반영,1713530152792,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000906,1781716747358,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000913
한진칼,180640,2017Q4,2017-12-31,분기말 지배지분 자본,재작성 반영,1525196970604,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000906,1593383565170,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000913
한진칼,180640,2018Q1,2018-03-31,분기별 매출액,재작성 반영,102375922458,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515002383,348534659583,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717
한진칼,180640,2019Q1,2019-03-31,분기별 당기순이익(지배),재작성 반영,-7964849288,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717,-24294834775,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200515002569
한진칼,180640,2019Q2,2019-06-30,분기별 당기순이익(지배),재작성 반영,-141830443811,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002945,-132575991727,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200814002194
한진칼,180640,2019Q3,2019-09-30,분기별 당기순이익(지배),재작성 반영,-89425996968,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002640,-81658808411,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116002070
한진칼,180640,2019Q4,2019-12-31,분기별 당기순이익(지배),재작성 반영,-5173555491,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000917 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002640,-5865210645,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116002070
한진칼,180640,2021Q2,2021-06-30,분기별 매출액,재분류(미반영),101085278706,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210813001289,37785364904,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220823000294
한진칼,180640,2021Q2,2021-06-30,분기별 영업이익,재분류(미반영),-49722522054,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210813001289,-947094096,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220823000294
한진칼,180640,2021Q3,2021-09-30,분기별 매출액,재분류(미반영),99736078303,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001276,39172520132,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111001027
한진칼,180640,2021Q3,2021-09-30,분기별 영업이익,재분류(미반영),-48531621524,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001276,-4004592673,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111001027
한진칼,180640,2021Q4,2021-12-31,분기별 매출액,재분류(미반영),119875374787,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220315001132 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001276,287601272150,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111001027
한진칼,180640,2021Q4,2021-12-31,분기별 영업이익,재분류(미반영),-31439553428,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220315001132 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001276,-184820860051,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221111001027
한진칼,180640,2022Q1,2022-03-31,분기별 매출액,재분류(미반영),108592501384,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516002130,41209468461,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230515002432
한진칼,180640,2022Q1,2022-03-31,분기별 영업이익,재분류(미반영),-45513329784,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516002130,875892546,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230515002432
한진칼,180640,2022Q2,2022-06-30,분기별 당기순이익(지배),재분류(미반영),561833629179,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220823000294,414738678445,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230814002711
아모레퍼시픽,090430,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,161925737820,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161121000258 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816001420,167101614606,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001672
아모레퍼시픽,090430,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,129487505290,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170331004533 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161121000258,124311628504,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001672
이수페타시스,007660,2017Q2,2017-06-30,분기별 영업활동현금흐름,재작성 반영,20433303655,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170816000209 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170515004004,19824900092,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180814001785
이수페타시스,007660,2017Q3,2017-09-30,분기별 영업활동현금흐름,재작성 반영,6040836213,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114002262 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170816000209,6649239776,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180814001785
이수페타시스,007660,2020Q2,2020-06-30,분기별 매출액,재분류(미반영),124852159744,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200814000866,103826203968,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210817002175
이수페타시스,007660,2020Q2,2020-06-30,분기별 영업이익,재분류(미반영),3351360162,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200814000866,8205037011,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210817002175
이수페타시스,007660,2020Q3,2020-09-30,분기별 매출액,재분류(미반영),149538692570,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001644,109361350787,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001827
이수페타시스,007660,2020Q3,2020-09-30,분기별 영업이익,재분류(미반영),4356597263,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001644,5305886513,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001827
이수페타시스,007660,2020Q4,2020-12-31,분기별 매출액,재분류(미반영),117631763039,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210405003044 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001644,218679373234,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001827
이수페타시스,007660,2020Q4,2020-12-31,분기별 영업이익,재분류(미반영),-2792714937,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210405003044 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001644,-8337750218,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211115001827
이수페타시스,007660,2021Q1,2021-03-31,분기별 매출액,재분류(미반영),122330821329,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210517002177,98770992999,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516001900
이수페타시스,007660,2021Q1,2021-03-31,분기별 영업이익,재분류(미반영),-2768242579,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210517002177,1904605064,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220516001900
대우건설,047040,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,10152059203382,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160330004245,10063706511751,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170407002473
대우건설,047040,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,7321377914729,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160330004245,7270402199612,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170407002473
대우건설,047040,2015Q4,2015-12-31,분기말 총자본(자기자본),재작성 반영,2830681288653,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160330004245,2793304312139,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170407002473
대우건설,047040,2015Q4,2015-12-31,분기말 지배지분 자본,재작성 반영,2772915138595,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160330004245,2735538162081,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170407002473
대우건설,047040,2016Q2,2016-06-30,분기별 매출액,재작성 반영,3028401461673,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816002207,3028610969928,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814000666
대우건설,047040,2016Q2,2016-06-30,분기별 영업이익,재작성 반영,105960142322,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816002207,112652771973,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814000666
대우건설,047040,2016Q2,2016-06-30,분기별 당기순이익(지배),재작성 반영,36864213269,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816002207,53862090211,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814000666
대우건설,047040,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,55342425007,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816002207 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160516003633,54447669955,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814000666
대우건설,047040,2016Q3,2016-09-30,분기별 매출액,재작성 반영,2817732667479,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114002517,2806070626991,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114002066
대우건설,047040,2016Q3,2016-09-30,분기별 영업이익,재작성 반영,97649832724,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114002517,106269210718,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114002066
대우건설,047040,2016Q3,2016-09-30,분기별 당기순이익(지배),재작성 반영,43105722770,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114002517,68157943544,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114002066
대우건설,047040,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,-142241875726,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114002517 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816002207,-141347120674,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814000666 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114002066
