기업,종목코드,기간,기준일,항목,값(원),값구분,출처
한진칼,180640,2019Q1,2019-03-31,분기말 자산총계,3040730843048,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717
한진칼,180640,2019Q1,2019-03-31,분기말 부채총계,1371000983486,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717
한진칼,180640,2019Q1,2019-03-31,분기말 총자본(자기자본),1669729859562,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717
한진칼,180640,2019Q1,2019-03-31,분기별 매출액,357118738219,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717
한진칼,180640,2019Q1,2019-03-31,분기별 영업이익,59849614625,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717
한진칼,180640,2019Q1,2019-03-31,분기별 당기순이익(지배),-24294834775,공시(재작성 반영),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717 ; 재작성 출처: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200515002569
한진칼,180640,2019Q1,2019-03-31,분기별 영업활동현금흐름,83249132702,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717
한진칼,180640,2019Q1,2019-03-31,분기말 지배지분 자본,1460125415998,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002717
한진칼,180640,2019Q1,2019-03-29,분기말 종가,25700,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 한진칼 ; 종가 25700 × 상장주식수 59170458 = 시가총액 1520680770600)"
한진칼,180640,2019Q1,2019-03-29,분기말 상장주식수,59170458,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 한진칼 ; 종가 25700 × 상장주식수 59170458 = 시가총액 1520680770600)"
한진칼,180640,2019Q1,2019-03-29,분기말 시가총액,1520680770600,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 한진칼 ; 종가 25700 × 상장주식수 59170458 = 시가총액 1520680770600)"
