기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
한미약품,128940,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,-9614714347,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114001337 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816001512,-4441238159,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001241,8
한미약품,128940,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,69849845200,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170331004264 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114001337,64676369012,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001241,8
