기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
JB금융지주,175330,2022Q3,2022-09-30,분기별 영업활동현금흐름,재작성 반영,501663000000,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221114001330 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220816002024,120795000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231114002058,14
JB금융지주,175330,2022Q4,2022-12-31,분기별 영업활동현금흐름,재작성 반영,-552638000000,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230330001609 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20221114001330,-171770000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231114002058,14
