기업,종목코드,기간,기준일,항목,값(원),값구분,출처,항목세트,라운드
키움증권,039490,2010Q1,2010-03-31,분기말 자산총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기말 부채총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기별 영업수익,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기별 영업이익,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기별 당기순이익(지배),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기별 순이자이익,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기별 순수수료이익,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100629000300,금융,13
키움증권,039490,2010Q1,2010-03-31,분기말 종가,46000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 키움증권 ; 종가 46000 × 상장주식수 22099740 = 시가총액 1016588040000)",금융,13
키움증권,039490,2010Q1,2010-03-31,분기말 상장주식수,22099740,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 키움증권 ; 종가 46000 × 상장주식수 22099740 = 시가총액 1016588040000)",금융,13
