기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
포스코퓨처엠,003670,2019Q2,2019-06-30,분기별 영업활동현금흐름,재작성 반영,-35910924711,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002013 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001626,-19185672201,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200813000480,5
포스코퓨처엠,003670,2019Q3,2019-09-30,분기별 영업활동현금흐름,재작성 반영,43401011571,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002258 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002013,26675759061,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200813000480,5
