기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
아모레퍼시픽,090430,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,161925737820,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161121000258 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816001420,167101614606,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001672,7
아모레퍼시픽,090430,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,129487505290,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170331004533 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161121000258,124311628504,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001672,7
