기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Airbnb,ABNB,2021Q1,2021-03-31,분기별 영업활동현금흐름,재작성 반영,494368000,공시,https://www.sec.gov/Archives/edgar/data/1559720/000162828021010389/,606376000,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000009/,6
Airbnb,ABNB,2021Q2,2021-06-30,분기별 영업활동현금흐름,재작성 반영,791299000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1559720/000162828021016979/ ; https://www.sec.gov/Archives/edgar/data/1559720/000162828021010389/,789654000,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000012/ ; https://www.sec.gov/Archives/edgar/data/1559720/000155972022000009/,6
Airbnb,ABNB,2021Q3,2021-09-30,분기별 영업활동현금흐름,재작성 반영,523178000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1559720/000155972021000017/ ; https://www.sec.gov/Archives/edgar/data/1559720/000162828021016979/,534734000,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000019/ ; https://www.sec.gov/Archives/edgar/data/1559720/000155972022000012/,6
Airbnb,ABNB,2021Q4,2021-12-31,분기별 영업활동현금흐름,재작성 반영,380849000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/ ; https://www.sec.gov/Archives/edgar/data/1559720/000155972021000017/,382236000,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/ ; https://www.sec.gov/Archives/edgar/data/1559720/000155972022000019/,6
Airbnb,ABNB,2022Q2,2022-06-30,분기별 영업활동현금흐름,재작성 반영,799747000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1559720/000155972022000012/ ; https://www.sec.gov/Archives/edgar/data/1559720/000155972022000009/,801008000,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000015/ ; https://www.sec.gov/Archives/edgar/data/1559720/000155972022000009/,6
Airbnb,ABNB,2022Q3,2022-09-30,분기별 영업활동현금흐름,재작성 반영,965563000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1559720/000155972022000019/ ; https://www.sec.gov/Archives/edgar/data/1559720/000155972022000012/,964302000,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000019/ ; https://www.sec.gov/Archives/edgar/data/1559720/000155972023000015/,6
