기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
GoDaddy,GDDY,2015Q3,2015-09-30,분기별 영업이익,재작성 반영,10300000,공시,https://www.sec.gov/Archives/edgar/data/1609711/000160971115000027/,10900000,https://www.sec.gov/Archives/edgar/data/1609711/000160971117000042/,27
GoDaddy,GDDY,2015Q4,2015-12-31,분기별 영업이익,재작성 반영,12800000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1609711/000160971116000048/ ; https://www.sec.gov/Archives/edgar/data/1609711/000160971115000027/,12200000,https://www.sec.gov/Archives/edgar/data/1609711/000160971116000048/ ; https://www.sec.gov/Archives/edgar/data/1609711/000160971116000295/,27
GoDaddy,GDDY,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,61300000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1609711/000160971116000048/ ; https://www.sec.gov/Archives/edgar/data/1609711/000160971115000027/,61100000,https://www.sec.gov/Archives/edgar/data/1609711/000160971117000042/ ; https://www.sec.gov/Archives/edgar/data/1609711/000160971115000027/,27
